tweet_id, num_words, text_length, contains_questmark, num_questmark, contains_exclammark, num_exclammark, contains_happyemo, contains_sademo, contains_firstorderpron, contains_secondorderpron, contains_thirdorderpron, num_uppercasechars, num_possentiwords, num_negsentiwords, num_mentions, num_hashtags, num_URLs, num_retweets
578854927457349632,6,65,false,0,false,0,false,false,false,false,false,4,0,0,1,0,1,0
578874632670953472,7,79,false,0,true,1,false,false,false,false,false,5,1,0,1,0,1,0
578891261353984000,6,84,false,0,true,2,false,false,false,false,false,5,2,0,1,0,1,0
578846612312748032,3,43,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
578975333841551360,13,116,false,0,false,0,false,false,null,null,null,5,null,null,1,0,1,1
579274670853226496,7,85,false,0,false,0,false,false,null,null,null,5,null,null,1,0,1,0
578861590482665472,6,61,false,0,false,0,false,false,null,null,null,5,null,null,0,0,1,0
578976098052091904,13,116,false,0,false,0,false,false,null,null,null,5,null,null,2,0,1,0
578844275061981184,15,139,false,0,false,0,false,false,false,false,false,6,0,0,1,3,1,0
578838737448235008,14,119,false,0,false,0,false,false,false,false,false,6,0,0,0,3,1,0
579130328339623936,14,106,false,0,false,0,false,false,true,false,false,8,1,0,1,0,1,0
579074694663389184,16,111,false,0,false,0,false,false,true,false,false,4,0,0,2,0,1,0
579064607937003520,15,104,false,0,false,0,false,false,false,false,false,4,0,0,1,0,1,0
579049347431731200,14,88,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
578854034985070593,5,44,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
579805235121659904,11,95,false,0,false,0,false,false,false,false,false,5,1,0,2,0,1,0
582001971126616065,14,135,false,0,false,0,false,false,false,false,true,1,0,0,3,1,1,0
579279811077603328,9,76,false,0,true,1,false,false,false,false,false,5,1,0,1,0,1,0
578852792351252480,10,105,false,0,false,0,false,false,false,false,true,5,0,0,0,1,1,0
579401070373371904,10,80,false,0,false,0,false,false,false,false,false,5,1,0,1,0,1,0
578839823731027968,1,36,false,0,false,0,false,false,null,null,null,0,null,null,0,1,1,0
578765284137373697,20,130,false,0,false,0,false,false,true,false,false,8,1,0,0,0,1,0
578808283831668736,20,130,false,0,false,0,false,false,true,false,false,8,1,0,0,0,1,0
578809771236704256,20,130,false,0,false,0,false,false,true,false,false,8,1,0,0,0,1,0
578837524950429696,15,129,false,0,false,0,false,false,null,null,null,9,null,null,2,0,1,0
578847003632893952,15,107,true,1,true,1,false,false,false,false,false,6,2,0,0,0,1,0
578847380440788992,11,76,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
578847562813349888,17,130,true,1,true,1,false,false,false,false,false,6,2,0,1,1,1,0
578854274949652481,16,116,false,0,false,0,false,false,false,false,true,3,0,0,1,0,1,0
578854464511217664,14,117,false,0,false,0,false,false,false,false,false,5,0,0,2,2,1,0
578856461368995840,5,49,false,0,false,0,false,false,false,false,false,5,0,0,0,0,1,0
578858832023138304,11,74,false,0,false,0,false,false,false,false,false,5,0,0,1,0,1,0
578859079570968576,15,130,false,0,false,0,false,false,false,false,false,4,0,0,1,2,1,0
578859248475570176,18,144,false,0,false,0,false,false,false,false,false,11,0,0,1,0,1,0
578997210207121408,11,115,false,0,false,0,false,false,false,false,false,5,1,0,0,0,2,0
578862319385591809,8,67,false,0,false,0,false,false,false,false,false,3,1,0,0,0,1,0
578862557139746816,12,93,false,0,false,0,false,false,false,false,false,3,0,0,0,2,1,0
578862695111389184,6,60,false,0,false,0,false,false,false,false,false,4,0,0,0,1,1,0
578867191057113088,18,123,false,0,true,1,false,false,true,false,false,4,1,1,0,2,1,0
578872340127305728,8,65,false,0,false,0,false,false,false,false,false,10,0,0,0,0,1,0
578880214475755520,8,61,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
578872874204733440,18,137,false,0,false,0,false,false,false,false,false,12,0,1,1,1,1,0
578875355685072896,8,73,false,0,false,0,false,false,false,false,false,5,0,0,0,0,1,0
578885046972596224,5,51,false,0,false,0,false,false,false,false,false,3,0,0,0,1,1,0
578887714961022976,18,129,false,0,false,0,false,false,true,false,false,8,0,0,0,0,1,0
578889018630410240,9,72,false,0,false,0,false,false,false,false,false,4,0,0,1,0,1,0
578895417749950464,17,132,false,0,false,0,false,false,true,false,false,8,0,0,0,0,1,0
578905555198181376,9,70,false,0,false,0,false,false,false,false,false,5,1,0,0,1,1,0
578910711260291072,10,118,false,0,false,0,false,false,false,false,false,3,0,0,0,0,3,0
578910868349534208,13,109,false,0,false,0,false,false,false,false,false,3,0,0,0,1,2,0
578928605805297664,10,86,false,0,false,0,false,false,false,false,false,5,1,0,0,0,1,0
578929368161918976,9,68,false,0,false,0,false,false,false,false,false,3,0,0,0,0,1,0
578929748170158080,13,132,false,0,false,0,false,false,false,false,false,8,0,1,1,3,1,0
578965406674784256,6,73,false,0,false,0,false,false,false,false,false,4,1,0,0,0,1,0
578975112956940289,13,78,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
578978967388102656,9,79,false,0,true,1,false,false,false,false,false,6,0,0,0,0,1,0
578953892546887680,11,83,false,0,false,0,false,false,false,false,false,4,2,0,1,0,1,0
578999954825461760,10,138,false,0,false,0,false,false,false,false,false,4,1,0,0,6,2,0
579023799435333632,12,100,false,0,false,0,false,false,false,false,false,7,2,0,0,1,1,0
579005798199619584,11,126,false,0,false,0,false,false,false,false,false,5,1,0,3,1,1,0
579203501135380481,18,125,false,0,false,0,false,false,false,false,false,5,0,1,0,2,1,0
579243756563509248,11,87,false,0,false,0,false,false,false,false,false,4,1,0,1,0,1,0
579281529513381888,12,90,false,0,false,0,false,false,false,false,false,7,0,0,0,0,1,0
579282897284239360,4,43,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
579112898267480064,11,118,false,0,false,0,false,false,false,false,false,7,0,0,2,0,1,0
579132862315655168,16,124,false,0,false,0,false,false,false,false,false,4,1,0,0,0,1,0
579159931271548928,16,101,false,0,false,0,false,false,false,false,false,25,1,1,0,0,1,0
579360337465618432,7,58,false,0,false,0,false,false,false,false,false,5,0,0,1,0,1,0
579409960116719616,15,94,false,0,false,0,false,false,false,false,false,3,0,0,0,0,1,0
579425905753350144,4,47,false,0,false,0,false,false,false,false,false,4,0,0,0,0,1,0
579457643296604160,11,76,false,0,false,0,false,false,false,false,false,6,0,0,0,0,1,0
579491021383401473,13,113,false,0,false,0,false,false,false,false,false,9,1,0,1,1,1,0
579912529222193152,11,79,true,1,false,0,false,false,false,true,false,4,0,1,0,0,1,0
580131649129709568,13,90,false,0,false,0,false,false,false,false,false,7,1,0,0,0,1,0
