post_id, num_words, text_length, contains_questmark, num_questmark, contains_exclammark, num_exclammark, contains_happyemo, contains_sademo, contains_firstorderpron, contains_secondorderpron, contains_thirdorderpron, num_uppercasechars, num_possentiwords, num_negsentiwords, num_mentions, num_hashtags, num_URLs, num_retweets
651118294447951872,11,139,false,0,false,0,false,false,false,false,false,2,null,null,0,7,1,0
651115824065830912,8,132,false,0,false,0,false,false,null,null,null,2,null,null,0,8,1,0
651095856662360065,1,102,false,0,false,0,false,false,null,null,null,1,null,null,0,0,2,0
651086828234104832,1,120,false,0,false,0,false,false,null,null,null,8,null,null,0,0,2,0
651034616007106560,18,135,false,0,false,0,false,false,false,false,false,8,null,null,0,0,1,0
651021070842134528,12,106,false,0,false,0,false,false,null,null,null,70,null,null,0,0,1,0
651014113536020483,1,94,false,0,false,0,false,false,null,null,null,0,null,null,0,0,1,54
651009053464915968,11,104,false,0,false,0,false,false,false,false,false,3,null,null,0,0,1,0
650995498887872512,1,102,false,0,false,0,false,false,null,null,null,6,null,null,0,0,1,0
650994479860686848,10,94,false,0,false,0,false,false,false,false,false,1,null,null,0,1,1,0
650982730889564160,13,114,false,0,false,0,false,false,false,false,false,7,null,null,1,4,1,0
650980592226537472,14,105,false,0,false,0,false,false,null,null,null,2,null,null,1,2,1,0
650979359973593088,8,81,false,0,false,0,false,false,false,false,false,6,null,null,0,0,1,1
650977262628679680,13,136,false,0,false,0,false,false,false,false,false,2,null,null,0,5,2,105
650976474191818752,2,129,false,0,false,0,false,false,null,null,null,10,null,null,0,2,2,81
650976015687282688,1,83,false,0,false,0,false,false,null,null,null,5,null,null,0,0,2,4
650974638328057856,14,131,false,0,false,0,false,false,false,false,true,4,null,null,0,0,2,0
650971603904385024,10,98,false,0,false,0,false,false,false,false,false,9,null,null,0,4,1,0
650971571461472256,1,136,false,0,false,0,false,false,null,null,null,4,null,null,0,0,1,0
650969555892850689,1,90,false,0,false,0,false,false,null,null,null,0,null,null,0,1,1,0
650968856786243584,1,91,false,0,false,0,false,false,null,null,null,7,null,null,0,0,1,0
650968638388838400,1,86,false,0,false,0,false,false,null,null,null,5,null,null,0,0,1,11
650966109554929664,1,138,false,0,false,0,false,false,null,null,null,6,null,null,0,0,1,2
650962779017506816,1,91,false,0,false,0,false,false,null,null,null,5,null,null,0,0,1,4
715439959667261440,7,63,false,0,false,0,false,false,false,false,false,2,null,null,1,0,1,0
713191025322377216,1,23,false,0,false,0,false,false,null,null,null,0,null,null,0,0,1,0
712838046027132928,1,97,false,0,false,0,false,false,null,null,null,0,null,null,0,0,2,6
712733198820704256,20,140,false,0,false,0,false,false,true,false,false,5,null,null,1,0,1,0
712669942915735554,14,135,false,0,false,0,false,false,false,false,false,4,null,null,0,0,2,14
683988305164267520,1,125,false,0,false,0,false,false,false,false,false,0,null,null,0,0,1,0
683987526344945664,16,139,false,0,false,0,false,false,false,false,true,2,null,null,4,1,1,0
683985276709003264,17,140,false,0,true,1,false,false,true,false,false,4,null,null,2,1,1,0
683984723908161536,15,121,true,1,true,1,false,false,false,true,false,0,null,null,1,0,1,0
683983380153786368,3,138,false,0,false,0,false,false,null,null,null,0,null,null,3,0,1,0
677147974934376449,8,127,false,0,false,0,false,false,false,false,false,2,null,null,1,3,1,0
677142141555068928,14,117,false,0,false,0,false,false,true,false,false,49,null,null,1,0,1,0
677140137793462272,3,136,false,0,true,2,false,false,null,null,null,0,null,null,0,3,1,1
677138284053716992,19,140,true,1,true,1,false,false,false,false,false,2,null,null,1,0,1,0
677137311432339456,2,85,false,0,false,0,false,false,null,null,null,0,null,null,1,0,1,0
674949610633326593,6,73,false,0,false,0,false,false,true,false,false,3,null,null,1,0,1,0
674947431658819584,4,56,false,0,false,0,false,false,false,false,false,1,null,null,1,0,1,0
700050777327411201,12,101,false,0,false,0,false,false,false,false,false,8,null,null,0,0,1,0
700023388841078784,1,47,false,0,false,0,false,false,null,null,null,0,null,null,0,0,2,0
700018178210967552,1,135,false,0,false,0,false,false,null,null,null,4,null,null,0,0,2,0
700014680404836352,9,79,false,0,false,0,false,false,false,false,false,3,null,null,0,1,1,0
700025934070546433,9,110,false,0,false,0,false,false,false,false,false,3,null,null,0,0,2,50
700599237776543744,15,136,false,0,false,0,false,false,false,false,false,77,null,null,2,0,1,3
700574696484392960,12,91,false,0,false,0,false,false,false,false,false,32,null,null,0,1,1,0
700567522366455808,15,136,false,0,false,0,false,false,false,false,false,77,null,null,1,0,1,3
700556412003315712,15,133,false,0,false,0,false,false,false,false,false,7,null,null,0,0,1,0
700222417118085120,14,105,false,0,false,0,false,false,false,false,false,32,null,null,1,0,1,0
700203703253495808,14,140,false,0,false,0,false,false,false,false,false,31,null,null,1,0,2,7
700203384863907841,14,140,false,0,false,0,false,false,false,false,false,31,null,null,0,0,2,7
700165394372423680,8,104,false,0,false,0,false,false,false,false,false,6,null,null,0,0,2,0
700150418400120832,1,51,false,0,false,0,false,false,null,null,null,0,null,null,0,0,1,3
700091238419079168,7,75,false,0,false,0,false,false,false,false,false,2,null,null,0,1,1,1
700062267098857472,12,111,false,0,true,1,false,false,false,false,false,5,null,null,0,2,1,0
700060994723307520,14,122,false,0,false,0,false,false,null,null,null,8,null,null,0,2,2,0
700057822537650179,9,111,false,0,false,0,false,false,false,false,false,3,null,null,0,1,2,0
700052460245659650,8,108,false,0,false,0,false,false,false,false,false,3,null,null,1,0,1,1
665333038944002048,14,146,false,0,false,0,false,false,null,null,null,2,null,null,0,2,1,26
665324167785410560,14,119,false,0,false,0,false,false,false,false,false,2,null,null,1,1,1,90
665333370205765632,8,82,false,0,false,0,false,false,false,false,false,0,null,null,2,1,1,6
665326188735295489,19,135,false,0,false,0,false,false,false,false,true,2,null,null,1,1,1,3
665389341141659648,1,35,false,0,false,0,false,false,null,null,null,0,null,null,0,1,1,0
665381603913441280,8,90,false,0,false,0,false,false,false,false,false,3,null,null,1,1,1,39
665325312742322176,8,75,false,0,false,0,false,false,false,false,true,7,null,null,0,1,1,8
665325765299302400,8,75,false,0,false,0,false,false,false,false,true,7,null,null,1,1,1,8
665589607552163840,19,125,false,0,false,0,false,false,false,false,false,3,null,null,1,0,1,7
665332547413504000,14,127,false,0,true,1,false,false,false,false,false,2,null,null,0,2,1,17
665347902189932544,17,137,false,0,false,0,false,false,null,null,null,2,null,null,0,2,1,20
665342161660022784,10,105,false,0,false,0,false,false,false,false,false,1,null,null,3,0,1,7
665498340059127808,15,114,false,0,false,0,false,false,null,null,null,1,null,null,2,0,1,18
665333949581754368,14,127,false,0,true,1,false,false,false,false,false,2,null,null,1,2,1,17
665326062184845312,19,135,false,0,false,0,false,false,false,false,true,2,null,null,0,1,1,3
665346057719672833,19,135,false,0,false,0,false,false,false,false,true,2,null,null,1,1,1,3
665340728080359424,2,70,false,0,false,0,false,false,null,null,null,1,null,null,0,2,1,0
665312414619926529,3,41,false,0,false,0,false,false,null,null,null,2,null,null,1,0,1,1
665482516975980544,16,122,false,0,false,0,false,false,false,false,false,4,null,null,1,1,1,78
665356539364945920,16,122,false,0,false,0,false,false,false,false,false,4,null,null,1,1,1,78
665327013842960384,5,59,false,0,false,0,false,false,false,false,false,1,null,null,1,0,1,3
665536779672526849,13,123,false,0,true,2,false,false,null,null,null,1,null,null,0,4,1,0
665326905474818048,5,59,false,0,false,0,false,false,false,false,false,1,null,null,0,0,1,3
665507006497865728,14,119,false,0,false,0,false,false,false,false,false,2,null,null,1,1,1,90
665363990302715904,14,119,false,0,false,0,false,false,false,false,false,2,null,null,1,1,1,90
665412062194085888,16,122,false,0,false,0,false,false,false,false,false,4,null,null,1,1,1,78
665475238784823296,16,122,false,0,false,0,false,false,false,false,false,4,null,null,1,1,1,78
665342748195741696,10,105,false,0,false,0,false,false,false,false,false,1,null,null,3,0,1,7
665535163380719616,15,114,false,0,false,0,false,false,null,null,null,1,null,null,2,0,1,18
665487939141574656,15,114,false,0,false,0,false,false,null,null,null,1,null,null,2,0,1,18
665493497722642432,14,127,false,0,true,1,false,false,false,false,false,2,null,null,1,2,1,17
665458066406682624,14,127,false,0,true,1,false,false,false,false,false,2,null,null,1,2,1,17
665345769629708288,14,127,false,0,true,1,false,false,false,false,false,2,null,null,1,2,1,17
665292183927455745,19,138,false,0,false,0,false,false,false,false,false,6,null,null,2,1,1,2032
665291933678493696,4,48,false,0,false,0,false,false,null,null,null,2,null,null,1,0,1,21
665291459332042752,9,82,false,0,false,0,false,false,null,null,null,2,null,null,0,0,1,1
665291435340492800,16,139,false,0,false,0,false,false,false,false,false,1,null,null,3,1,1,5
665291409407148032,16,139,false,0,false,0,false,false,false,false,false,1,null,null,2,1,1,5
665291250619326465,4,48,false,0,false,0,false,false,null,null,null,2,null,null,0,0,1,21
665290706211205120,19,138,false,0,false,0,false,false,false,false,false,6,null,null,1,1,1,2032
665294181049483266,18,129,false,0,false,0,false,false,true,false,false,5,null,null,1,1,1,16
665293916695085061,5,50,false,0,false,0,false,false,false,false,false,1,null,null,0,1,1,0
665293707835547649,18,129,false,0,false,0,false,false,true,false,false,5,null,null,0,1,1,16
665293503426125826,17,136,false,0,false,0,false,false,false,false,false,1,null,null,0,1,1,0
665293405585543169,9,82,false,0,false,0,false,false,null,null,null,2,null,null,1,0,1,1
665292299287535617,19,140,false,0,false,0,false,false,false,false,false,7,null,null,0,1,1,0
665297317206081536,19,139,false,0,false,0,false,false,true,false,false,7,null,null,0,1,1,0
665303302767304704,18,137,false,0,false,0,false,false,false,false,false,6,null,null,2,1,1,1
665292171688452097,20,139,false,0,false,0,false,false,null,null,null,3,null,null,1,2,1,1105
665287110346297344,20,139,false,0,false,0,false,false,null,null,null,3,null,null,0,2,1,0
665281896457334785,20,139,false,0,false,0,false,false,null,null,null,3,null,null,0,2,1,1105
665292151937302528,12,129,false,0,false,0,false,false,false,false,false,8,null,null,2,2,2,744
665291076111106048,12,128,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,1
665290734480814080,15,126,false,0,false,0,false,false,false,false,false,14,null,null,0,2,1,0
665290127925780480,12,128,false,0,false,0,false,false,false,false,false,14,null,null,1,2,2,3
665289898048495616,13,138,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,0
665289786912022528,12,128,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,3
665289588760539136,12,128,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,0
665289378361679873,12,128,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,0
665287790863761409,13,136,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,0
665287789613830148,13,136,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,0
665287666729132032,12,128,false,0,false,0,false,false,false,false,false,14,null,null,0,2,2,0
665287647225581568,14,138,false,0,false,0,false,false,false,false,false,15,null,null,0,2,2,0
